,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
151206,Papua New Guinea,Oil products,Imports,2004,1.0,14694581260.0
151207,Papua New Guinea,Oil products,International aviation bunkers,2004,1.0,444533840.0
151208,Papua New Guinea,Oil products,International marine bunkers,2004,2.0,373953230.0
151209,Papua New Guinea,Oil products,Production,2004,0.0,3587027494.5484
151210,Papua New Guinea,Oil products,Stock changes,2004,2.0,125236860.0
151211,Papua New Guinea,Oil products,Total energy supply,2004,0.0,16022958820.8966
151212,Papua New Guinea,Oil products,Transformation,2004,0.0,6507216410.0
151213,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2004,0.0,6507216410.0
151214,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2004,0.0,171263300.0
151215,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2004,0.0,171263300.0
151216,Papua New Guinea,Oil products,production from refineries,2004,0.0,3587027494.5484
151217,Papua New Guinea,Oil products,Consumption by domestic aviation,2005,1.0,642105520.0
151218,Papua New Guinea,Oil products,Consumption by domestic navigation,2005,1.0,85787960.0
151219,Papua New Guinea,Oil products,Consumption by households,2005,1.0,382186660.0
151220,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2005,0.0,287326818.1774
151221,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2005,0.0,267472260.0
151222,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2005,0.0,3922256548.1774
151223,Papua New Guinea,Oil products,Consumption by other,2005,3.0,582258228.1774
151224,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2005,1.0,116063518.1774
151225,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2005,0.0,267472260.0
151226,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2005,0.0,3920368130.0
151227,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2005,0.0,1888418.1774
151228,Papua New Guinea,Oil products,Consumption by transport,2005,2.0,4353174400.0
151229,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2005,1.0,84008050.0
151230,Papua New Guinea,Oil products,Consumption in road,2005,1.0,3625280920.0
151231,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2005,0.0,4187840390.0
151232,Papua New Guinea,Oil products,Exports,2005,0.0,1665893218.8468
151233,Papua New Guinea,Oil products,Final consumption,2005,3.0,9410599836.3548
151234,Papua New Guinea,Oil products,Final energy consumption,2005,3.0,9410599836.3548
151235,Papua New Guinea,Oil products,Fuel oil,2005,0.0,2942197080.0
151236,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2005,0.0,2520237930.0
151237,Papua New Guinea,Oil products,Imports,2005,1.0,8505683790.0
151238,Papua New Guinea,Oil products,International aviation bunkers,2005,1.0,444533840.0
151239,Papua New Guinea,Oil products,International marine bunkers,2005,2.0,373953230.0
151240,Papua New Guinea,Oil products,Production,2005,0.0,8473228830.0
151241,Papua New Guinea,Oil products,Total energy supply,2005,1.0,14494532331.153198
151242,Papua New Guinea,Oil products,Transformation,2005,0.0,5462435010.0
151243,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2005,0.0,5462435010.0
151244,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2005,0.0,285438400.0
151245,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2005,0.0,285438400.0
151246,Papua New Guinea,Oil products,production from refineries,2005,0.0,8473228830.0
151247,Papua New Guinea,Oil products,Consumption by domestic aviation,2006,1.0,543319680.0
151248,Papua New Guinea,Oil products,Consumption by domestic navigation,2006,1.0,63211860.0
151249,Papua New Guinea,Oil products,Consumption by households,2006,1.0,273087400.0
151250,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2006,0.0,287326818.1774
151251,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2006,0.0,267472260.0
151252,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2006,0.0,4146278808.1774
151253,Papua New Guinea,Oil products,Consumption by other,2006,3.0,472450918.1774
151254,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2006,1.0,116063518.1774
151255,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2006,0.0,267472260.0
151256,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2006,0.0,4144390390.0
151257,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2006,0.0,1888418.1774
151258,Papua New Guinea,Oil products,Consumption by transport,2006,2.0,4231812460.0
151259,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2006,1.0,83300000.0
151260,Papua New Guinea,Oil products,Consumption in road,2006,1.0,3625280920.0
151261,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2006,0.0,4411862650.0
151262,Papua New Guinea,Oil products,Exports,2006,0.0,2848161323.132
151263,Papua New Guinea,Oil products,Final consumption,2006,3.0,9403452846.3548
151264,Papua New Guinea,Oil products,Final energy consumption,2006,3.0,9403452846.3548
151265,Papua New Guinea,Oil products,Fuel oil,2006,0.0,2942197080.0
151266,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2006,0.0,2688254030.0
151267,Papua New Guinea,Oil products,Imports,2006,0.0,8067799310.0
151268,Papua New Guinea,Oil products,International aviation bunkers,2006,1.0,464291740.0
151269,Papua New Guinea,Oil products,International marine bunkers,2006,2.0,373953230.0
151270,Papua New Guinea,Oil products,Production,2006,0.0,10058098015.0968
151271,Papua New Guinea,Oil products,Total energy supply,2006,0.0,14439491031.9648
151272,Papua New Guinea,Oil products,Transformation,2006,0.0,5630451110.0
151273,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2006,0.0,5630451110.0
151274,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2006,0.0,285438400.0
151275,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2006,0.0,285438400.0
151276,Papua New Guinea,Oil products,production from refineries,2006,0.0,10058098015.0968
151277,Papua New Guinea,Oil products,Consumption by domestic aviation,2007,1.0,475800000.0
151278,Papua New Guinea,Oil products,Consumption by domestic navigation,2007,1.0,61000000.0
151279,Papua New Guinea,Oil products,Consumption by households,2007,0.0,546170080.0
151280,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2007,0.0,165027779.8
151281,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2007,0.0,267472260.0
151282,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2007,1.0,4609017779.8
151283,Papua New Guinea,Oil products,Consumption by other,2007,1.0,1807500080.0
151284,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2007,0.0,27300000.0
151285,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2007,0.0,267472260.0
151286,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2007,1.0,4606490000.0
151287,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2007,0.0,2527779.8
151288,Papua New Guinea,Oil products,Consumption by transport,2007,3.0,3766070000.0
151289,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2007,1.0,1234030000.0
151290,Papua New Guinea,Oil products,Consumption in road,2007,2.0,3229270000.0
151291,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2007,1.0,4873962260.0
151292,Papua New Guinea,Oil products,Exports,2007,1.0,569305658.6
151293,Papua New Guinea,Oil products,Final consumption,2007,3.0,10612560119.8
151294,Papua New Guinea,Oil products,Final energy consumption,2007,3.0,10612560119.8
151295,Papua New Guinea,Oil products,Fuel oil,2007,0.0,3219000000.0
151296,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2007,0.0,2796500000.0
