,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
15385,New Caledonia,Electricity,net production,1998,,15910000000.0
15386,New Caledonia,Electricity,net production,1997,,15240000000.0
15387,New Caledonia,Electricity,net production,1996,,14850000000.0
15388,New Caledonia,Electricity,net production,1995,,14150000000.0
15389,New Caledonia,Electricity,net production,1994,,13320000000.0
15390,New Caledonia,Electricity,net production,1993,,12700000000.0
15391,New Caledonia,Electricity,net production,1992,,10990000000.0
15392,New Caledonia,Electricity,net production,1991,,11700000000.0
15393,New Caledonia,Electricity,net production,1990,,11470000000.0
15394,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2020,,32326000000.0
15395,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2019,,40999999.999998204
15396,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2018,,8999999.99999991
15397,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2017,,5999999.99999909
15398,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2016,,0.0
15399,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2015,,299999.999997453
15400,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2014,,399999.999995089
15401,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2013,,1700000.0000007302
15402,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2012,,99999.999997635
15403,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2011,,500000.000001819
15404,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2010,,2000000.00000273
15405,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2009,,999999.9999968172
15406,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2008,,45999999.9999991
15407,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2007,,586000000.0
15408,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2006,,570000000.0
15409,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2005,,570000000.0
15410,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2004,,590000000.0
15411,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2003,,500000000.0
15412,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2002,,490000000.0
15413,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2001,,570000000.0
15414,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",2000,,170000000.0
15415,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",1999,,60000000.0
15416,New Caledonia,Electricity,"Own use by electricity, heat and CHP plants",1998,,0.0
